index,Close,Open,a,b,c,d,e,f,g,h,i
1679,2107.78,2115.76,0.9977064,0.9298213,0.991401,0.45260465,0.017298985,0.5670404,0.9471029,0.000267315,0.9856464
1680,2098.53,2107.72,0.99916196,0.9556341,0.9972128,0.41097057,0.007942708,0.62138766,0.9739638,2.54E-05,0.993036
1681,2101.04,2098.54,0.99843746,0.94102687,0.9964199,0.43998972,0.012248542,0.5971856,0.9662711,6.76E-05,0.98618317
1682,2071.26,2100.91,0.99841094,0.96323603,0.99661237,0.40272287,0.010037575,0.6138664,0.9662743,2.06E-05,0.9924461
1683,2079.43,2072.25,0.99405485,0.9090379,0.9895102,0.46450433,0.030626725,0.54890513,0.9302787,0.000428703,0.97097856
1684,2044.16,2076.14,0.98809564,0.9170019,0.98405355,0.47194418,0.03913868,0.5372274,0.90403426,0.000623816,0.9665205
1685,2040.24,2044.69,0.97994417,0.8607137,0.9769086,0.50073487,0.06531224,0.5128964,0.88435733,0.002248553,0.93356156
1686,2065.95,2041.1,0.014879291,0.058505908,0.015609689,0.64688313,0.9679414,0.26295933,0.07913503,0.99763656,0.08392275
1687,2053.4,2064.56,0.16203561,0.18930352,0.13858448,0.6168288,0.8112986,0.32123643,0.24003237,0.9452602,0.29015136
1688,2081.19,2055.35,1.29E-05,0.001539393,1.72E-05,0.782546,0.9998142,0.10161253,0.001339685,1,0.000684898
1689,2074.28,2080.59,0.000196954,0.008018917,0.000526071,0.74739736,0.9984566,0.16209874,0.009361028,0.9999956,0.003190088
1690,2099.5,2072.84,8.26E-05,0.00327662,7.05E-05,0.7435564,0.9991449,0.1368717,0.003738756,0.9999995,0.002956741
1691,2089.27,2098.69,0.000263238,0.007720397,0.000629871,0.7521,0.99838567,0.16386668,0.010555329,0.9999968,0.003383159
1692,2108.1,2090.32,0.001057652,0.016396986,0.002108997,0.7217876,0.9910479,0.20255587,0.023849068,0.9999355,0.010573082
1693,2104.42,2107.99,0.005289185,0.04206238,0.012472321,0.71616685,0.97835153,0.24622168,0.0624931,0.9993593,0.01924736
1694,2091.5,2103.94,0.02571885,0.103894435,0.06753576,0.6826689,0.91733694,0.30220187,0.15125893,0.98615396,0.059431527
1695,2061.05,2093.1,0.94572455,0.7503081,0.9047878,0.53607,0.121008955,0.48201215,0.7905892,0.015869286,0.8812984
1696,2056.15,2059.94,0.99898654,0.93423986,0.9976169,0.46076736,0.007678138,0.6116765,0.97273177,7.21E-05,0.9862
1697,2061.02,2055.78,0.9637003,0.7579825,0.95552367,0.5488723,0.09952456,0.48466527,0.8387033,0.012257828,0.84413606
1698,2086.24,2064.11,0.031867005,0.120252095,0.047143187,0.6606385,0.90988636,0.30207026,0.13920794,0.9823303,0.09014953
1699,2067.89,2084.05,0.8950191,0.67829984,0.8814964,0.56643206,0.1820746,0.44847015,0.7338106,0.047047872,0.76043266
1700,2059.69,2067.63,0.9912732,0.9005968,0.9794033,0.50792485,0.043134447,0.52364457,0.9040765,0.001901423,0.955024
1701,2066.96,2060.03,0.024640359,0.16508462,0.0377198,0.670149,0.95198315,0.27325958,0.108775005,0.9918522,0.068830244
1702,2080.62,2064.87,0.00535126,0.070548624,0.005619493,0.68690884,0.98281693,0.23604503,0.045192808,0.9992667,0.036389288
1703,2076.33,2080.79,0.021051915,0.123328134,0.032728277,0.6809928,0.9508192,0.27489677,0.11006593,0.9940149,0.057046566
1704,2081.9,2076.94,0.26947802,0.3277915,0.25341904,0.6330356,0.68472105,0.3572852,0.35986665,0.7671666,0.28011283
1705,2091.18,2081.29,0.019348923,0.09020207,0.019219909,0.6758788,0.9463165,0.2749511,0.097200684,0.99552083,0.06236321
1706,2102.06,2091.51,0.017156515,0.07380891,0.020075232,0.7108044,0.94192076,0.27818465,0.09685202,0.9972024,0.032354124
1707,2092.43,2102.03,0.063203186,0.16719426,0.08929874,0.65717834,0.83293927,0.3183518,0.19383046,0.95784277,0.123493165
1708,2095.84,2092.28,0.07809183,0.17231788,0.09212008,0.6529559,0.8066448,0.31886125,0.20340712,0.95116365,0.13724889
1709,2106.63,2097.82,0.098549455,0.19366269,0.11236647,0.65244627,0.74371535,0.32782593,0.23074502,0.92625296,0.15954898
1710,2104.99,2105.96,0.56567204,0.5009106,0.55484504,0.60704523,0.44923478,0.39386195,0.52036726,0.34690246,0.48616546
1711,2081.18,2102.58,0.9989172,0.95107305,0.9950087,0.45196807,0.008892339,0.5830849,0.95994884,0.000131507,0.9905021
1712,2100.4,2084.11,0.82816684,0.61078936,0.78387994,0.5679018,0.2559013,0.43450025,0.66476905,0.09081695,0.7226645
1713,2097.29,2102.82,0.7948361,0.6143279,0.7735253,0.5771547,0.30681822,0.42243582,0.64468336,0.124933966,0.6743936
1714,2107.96,2098.27,0.5588434,0.48156312,0.52905476,0.58853567,0.50280046,0.39520863,0.50132227,0.36214116,0.54206395
1715,2112.93,2107.21,0.4697737,0.44811687,0.49039432,0.6117034,0.49519387,0.38135302,0.46570712,0.463154,0.4311367
1716,2117.69,2112.8,0.3596707,0.40146583,0.48582557,0.6213718,0.6244353,0.3740977,0.44146228,0.59804213,0.34897745
