index,Close,Open,a,b,c,d,e,f,g,h
1169,1502.42,1511.95,0.25513422,0.66166455,0.41041598,0.5832235,0.4022198,0.55768865,0.611565,0.20423757
1170,1515.6,1502.42,0.30248004,0.6689906,0.39088187,0.55806947,0.40612167,0.5754126,0.5277765,0.26214868
1171,1487.85,1515.6,0.2386016,0.63121766,0.39566845,0.5904467,0.39172214,0.56395346,0.6457886,0.19181944
1172,1496.94,1487.85,0.28977302,0.6660261,0.392715,0.56836176,0.40374523,0.5771108,0.55649066,0.2456499
1173,1515.99,1496.94,0.31141624,0.66936517,0.33061552,0.5397225,0.40542498,0.63384575,0.51373154,0.28287348
1174,1514.68,1515.99,0.35970762,0.683281,0.31899643,0.52065796,0.40543392,0.65688187,0.44418952,0.33460578
1175,1518.2,1514.68,0.34780458,0.67770666,0.34632105,0.5303864,0.41051108,0.6257774,0.45299995,0.3226855
1176,1525.2,1518.2,0.36442694,0.6964906,0.32518947,0.5077833,0.41157758,0.65209264,0.42291027,0.34706613
1177,1539.79,1525.2,0.40415916,0.6972427,0.29591417,0.48232743,0.42606845,0.69131637,0.3455212,0.4140159
1178,1541.46,1539.79,0.38994488,0.7066544,0.29434192,0.49146238,0.4242794,0.6948757,0.377697,0.38374707
1179,1544.26,1541.46,0.357542,0.71231455,0.3122719,0.50894666,0.41782433,0.6741134,0.43615177,0.32584172
1180,1551.18,1544.26,0.3378792,0.70895034,0.30545297,0.51332325,0.42916155,0.6758625,0.45428264,0.31736377
1181,1556.22,1551.15,0.34279418,0.72243774,0.33128664,0.5041804,0.4392661,0.6552031,0.42849645,0.32551312
1182,1552.48,1556.22,0.3178205,0.7009252,0.35833585,0.53376245,0.41360265,0.6176916,0.49512783,0.2817739
1183,1554.52,1552.48,0.30021462,0.7059748,0.36065087,0.5308652,0.41921744,0.61113775,0.5101499,0.27522266
1184,1563.23,1554.52,0.31080565,0.7049789,0.34836406,0.5281838,0.42071906,0.62957704,0.49237046,0.28131574
1185,1560.7,1563.21,0.28703082,0.6757033,0.33354476,0.5565735,0.3994703,0.6400634,0.5585495,0.2459182
1186,1552.1,1560.7,0.28545973,0.67249453,0.38771263,0.56206805,0.39372385,0.5778059,0.57042724,0.2315392
1187,1548.34,1552.1,0.2715701,0.66207546,0.37664643,0.57179064,0.39286804,0.5894923,0.59485424,0.21720988
1188,1558.71,1548.34,0.3126577,0.6764932,0.37060583,0.5506673,0.4015727,0.60110193,0.5200924,0.26417878
1189,1545.8,1558.71,0.29353836,0.65846366,0.38614827,0.57472885,0.3933684,0.5847454,0.5706671,0.23147772
1190,1556.89,1545.9,0.31475765,0.6785781,0.37193194,0.55136377,0.40299112,0.60198027,0.5187118,0.26158172
1191,1551.69,1556.89,0.30047563,0.6594422,0.35789454,0.5622159,0.39777127,0.6117312,0.5511356,0.24835426
1192,1563.77,1551.69,0.35589698,0.68744534,0.34036827,0.52384806,0.4095112,0.63931924,0.44280413,0.31702057
1193,1562.85,1563.75,0.34992933,0.6923985,0.35679576,0.52692664,0.41426623,0.6251476,0.44180244,0.3093214
1194,1569.19,1562.86,0.34747615,0.68910635,0.31826547,0.518135,0.40889114,0.6613387,0.4507822,0.32082972
1195,1562.17,1569.18,0.32603192,0.68908703,0.34462446,0.53763604,0.41171274,0.6340356,0.49568346,0.27463892
1196,1570.25,1562.17,0.33376023,0.68148375,0.33151335,0.5345304,0.4128137,0.6460422,0.47400367,0.30066386
1197,1553.69,1570.25,0.26330137,0.6589919,0.37084743,0.5757732,0.40876704,0.59833544,0.58785176,0.22216779
1198,1559.98,1553.69,0.29972458,0.6795369,0.37059057,0.55535465,0.41328654,0.60077363,0.5289141,0.2600289
1199,1553.28,1559.98,0.273688,0.6728019,0.40260783,0.56553495,0.41271544,0.5658565,0.55921453,0.23204994
1200,1563.07,1553.26,0.31821308,0.67528677,0.36517718,0.5456985,0.4104377,0.6034487,0.49998474,0.28520757
1201,1568.61,1563.11,0.33439887,0.6852267,0.32448098,0.52017426,0.40605336,0.6495473,0.4753221,0.30870888
1202,1587.73,1568.61,0.3560649,0.68626934,0.29767445,0.5001781,0.41657192,0.6785598,0.417663,0.36191064
1203,1593.37,1587.73,0.37567142,0.69778836,0.31826514,0.4952058,0.42623672,0.66863275,0.38486153,0.38238308
1204,1588.85,1593.3,0.32519102,0.6750517,0.35313514,0.5427293,0.40842694,0.6165869,0.49162567,0.30126116
1205,1552.36,1588.84,0.25306246,0.6477044,0.38845277,0.58817804,0.39941028,0.5788068,0.61650085,0.2004924
1206,1574.57,1552.36,0.29460004,0.67128,0.3780621,0.56723887,0.4106905,0.5909877,0.5447292,0.24664257
1207,1552.01,1574.57,0.25794125,0.65671384,0.38610825,0.5838852,0.40037644,0.58282375,0.6166833,0.20124765
1208,1541.61,1552.03,0.2570505,0.63909715,0.39834997,0.60132354,0.38668987,0.56561404,0.647852,0.2008779
1209,1555.25,1541.61,0.29532373,0.68871003,0.37066743,0.5473197,0.40604213,0.60053444,0.5416879,0.2461847
1210,1562.5,1555.25,0.33152482,0.70134985,0.3533673,0.52494216,0.41251236,0.6227839,0.47616044,0.28401464
1211,1578.78,1562.5,0.4004886,0.7263912,0.3536403,0.47332653,0.44108933,0.6376335,0.31286597,0.40715304
1212,1578.79,1578.78,0.37121227,0.7058633,0.33941492,0.5032458,0.41471058,0.6428873,0.39945766,0.35657728
1213,1585.16,1578.93,0.3867139,0.7123038,0.33153135,0.49146906,0.42991164,0.6590411,0.35691872,0.37811917
1214,1582.24,1585.16,0.3680461,0.68020767,0.3402077,0.5350142,0.4118798,0.6395539,0.4388632,0.32799068
1215,1593.61,1582.34,0.37921253,0.69600874,0.34729862,0.5108616,0.4238479,0.6374262,0.3893699,0.3565953
1216,1597.57,1593.58,0.35221836,0.68769455,0.31686026,0.5245505,0.4191195,0.664806,0.4432407,0.32931557
1217,1582.7,1597.55,0.31021175,0.6904659,0.32595372,0.53570926,0.41136307,0.6484767,0.52368665,0.26522937
1218,1597.59,1582.77,0.31565738,0.6827111,0.32927912,0.53770524,0.40669882,0.6425426,0.51670676,0.27773815
1219,1614.42,1597.6,0.32227468,0.7073988,0.31389147,0.50772846,0.42689708,0.66735363,0.4694269,0.30299112
1220,1617.5,1614.4,0.33390412,0.71296656,0.33631128,0.5069854,0.43729517,0.6472667,0.4412282,0.3432194
1221,1625.96,1617.55,0.33131236,0.71235555,0.33480436,0.5118298,0.42892218,0.64971024,0.45211557,0.31526905
1222,1632.69,1625.95,0.31997094,0.69927573,0.33980826,0.5252754,0.42688414,0.6386249,0.46670324,0.31459266
1223,1626.67,1632.69,0.30336228,0.6771073,0.36283228,0.5517596,0.4061931,0.60355777,0.5164073,0.27890489
1224,1633.7,1626.69,0.2980804,0.6810137,0.3712594,0.5533787,0.3996949,0.5947765,0.54043907,0.25734025
1225,1633.77,1632.1,0.28237215,0.67111164,0.36679947,0.56646425,0.38718918,0.59486663,0.58802176,0.22725683
1226,1650.34,1633.75,0.2845218,0.67173064,0.32714275,0.55646926,0.39723468,0.63981235,0.57775724,0.23014665
1227,1658.78,1649.13,0.29687542,0.6729259,0.33507478,0.5516879,0.39768648,0.6342213,0.5518827,0.25071844
1228,1650.47,1658.07,0.28995058,0.6688245,0.3617699,0.5626938,0.38781837,0.6057627,0.5742582,0.23396726
1229,1667.47,1652.45,0.3194444,0.7001493,0.35779583,0.5257464,0.4176339,0.622349,0.4806068,0.2786083
1230,1666.29,1665.71,0.31979012,0.6830977,0.3650227,0.5432824,0.40248397,0.6105605,0.5086299,0.27191418
1231,1669.16,1666.2,0.3168241,0.68301773,0.3650041,0.54775894,0.4025969,0.6127572,0.5126785,0.26014343
1232,1655.35,1669.39,0.25366682,0.6586026,0.32787246,0.5734034,0.39579165,0.6437633,0.62631637,0.18426734
1233,1650.51,1651.62,0.26990327,0.65482527,0.37380996,0.5853701,0.39198032,0.59672844,0.61256593,0.20518793
1234,1649.6,1646.67,0.2987347,0.6552312,0.40492135,0.58280855,0.39111558,0.5631829,0.5729283,0.2291718
